val_pred,val_true,aro_pred,aro_true
-0.39869788,-0.176846,0.013087173,-0.0776398
-0.35712916,-0.367789,0.070475325,0.183895
-0.16427027,-0.0629113,0.43994728,0.532327
-0.16830449,0.00483933,0.039779503,-0.00483933
-0.32004982,-0.642857,-0.13417915,-0.507936
-0.8244832,-0.597729,0.49780935,0.483164
-0.48241872,-0.309524,0.5003187,0.285714
-0.6069753,-0.147493,-0.45812446,-0.379267
-0.4836252,-0.648471,0.4435006,0.658149
-0.08712194,-0.626984,0.07290758,0.611111
-0.38979098,-0.539683,0.24091478,0.357143
0.57282877,0.537295,0.06506664,0.115887
-0.21536246,-0.246032,0.98893946,0.793651
-0.6644629,-0.793651,0.12063308,-0.373016
-0.3214593,-0.643631,0.33953598,0.65331
-0.16979262,-0.159698,0.74044865,0.938831
-0.36666924,-0.571429,-0.04091463,-0.222222
-0.14028975,-0.238095,0.016162097,0.753968
-0.27643305,-0.565045,-0.031608302,-0.176846
-0.835421,-0.854767,-0.33671507,-0.234996
-0.517506,-0.18254,0.29341283,0.563492
0.046487786,0.0689021,0.5695141,0.750268
-0.2973806,-0.316056,-0.15233439,-0.15276
-0.19372948,-0.300039,0.38491797,0.333914
-0.5076548,0.611111,0.3620703,0.0873016
0.13628612,0.224293,0.90604585,0.733264
-0.84981817,-0.769841,-0.5557702,-0.388889
-0.42230123,-0.698413,0.7125584,0.47619
-0.42115235,-0.643631,0.53397095,0.648471
-0.71699864,-0.844784,-0.20027462,-0.324086
-0.20532683,-0.237127,0.023184573,0.237127
0.077590875,0.187567,0.67603856,0.803858
-0.48611295,-0.348675,0.5936788,0.632596
-0.3019187,-0.0919473,-0.06729805,-0.0677507
-0.49627742,-0.556523,-0.6320175,-0.348432
-0.6562693,-0.738784,-0.04223099,-0.202879
0.8418092,0.922565,0.04424456,0.0885835
-0.47843862,-0.174603,0.50202274,0.547619
-0.22478323,-0.648471,0.24941608,0.658149
-0.32830492,-0.439281,0.29533604,0.525057
-0.50005054,-0.595238,-0.017052695,0.65873
-0.09485196,0.396825,0.39312288,0.759775
-0.6085868,-0.758533,0.38722414,0.453013
0.12399075,0.125086,0.19578321,0.487405
-0.34759957,0.309524,0.22014213,0.150794
-0.37958443,-0.754936,0.10627991,0.421022
-0.73342943,-0.460317,0.27422214,0.277778
0.61805415,0.787009,0.122188315,0.358637
-0.0864749,-0.168563,0.9618514,0.790139
-0.44920862,0.367789,-0.049995936,0.764615
-0.24310058,-0.750097,0.26743725,0.372629
0.019336484,0.191799,0.59377825,0.767196
-0.19709958,-0.722222,0.76981837,0.452381
-0.19415729,-0.65261,0.3829608,0.666954
-0.056499414,-0.0396825,0.0062717237,-0.031746
-0.17510301,0.174216,0.13228346,0.0241967
-0.14751016,0.367789,0.14136265,0.783972
0.14734842,0.166667,0.5178523,0.746032
-0.17960614,-0.164375,0.98648864,0.901574
0.7604989,0.912698,0.071977325,0.134921
-0.2648634,0.238095,0.13320613,0.896825
0.88155997,0.825397,0.0450175,0.166667
-0.28374982,-0.563492,-0.20084137,-0.0634921
0.013166192,0.547619,0.42582124,0.015873
-0.3504113,-0.15873,0.49078605,0.825397
-0.096351534,-0.101626,0.48641008,0.629113
-0.48109525,0.150794,0.3749131,0.666667
-0.25152287,0.357143,0.14551885,0.0793651
-0.9694706,-0.796971,-0.4883546,-0.164375
-0.6597805,-0.611111,-0.17178869,-0.285714
-0.51656425,-0.857143,-0.22810817,-0.238095
-1.0037341,-0.944171,-0.4190356,-0.280875
-0.5523696,-0.842044,-0.3342867,-0.246806
-0.45704797,-0.735579,-0.0072317915,-0.183895
-0.84266937,-0.650794,-0.6038084,-0.285714
-0.13316649,-0.179055,0.640712,0.769454
0.2966351,0.515873,0.103950255,-0.00793651
-0.44336626,0.765579,0.47880778,0.0459348
-0.9450333,-0.701703,-0.49989212,0.532327
-0.43989837,-0.0301932,0.43866572,0.0819531
-0.42761457,-0.14234,0.20056918,0.340752
-0.7534364,-0.111305,-0.1782066,0.643631
0.30833778,0.523809,0.37557185,0.714286
0.14816593,0.222609,0.8113423,0.638792
-0.22212547,0.571429,0.42517966,0.0952381
-0.041451335,-0.447745,0.1547207,0.158028
-0.5831513,-0.238095,-0.3175083,-0.34127
-0.36350632,-0.674603,0.08269785,0.468254
-0.559214,-0.295199,0.597852,0.682346
-0.1740523,0.13169,0.09232553,-0.215971
0.39838547,0.900116,-0.10060768,-0.140341
-0.50897425,-0.711125,0.33080676,0.458281
-0.28154337,-0.721061,0.4659766,0.425861
0.37794787,0.391986,0.46022284,0.745257
-0.30134144,-0.599551,0.10542059,0.340752
-0.72651637,-0.68254,0.503666,0.47619
-0.61671597,-0.769454,0.6815214,0.522648
0.6426175,0.498451,0.044375677,0.0822687
-0.13411856,-0.0448296,0.047614697,0.0547918
-0.59341824,-0.597729,0.55481386,0.483164
-0.22781786,-0.674603,0.23593986,-0.460317
-0.5572762,-0.00431332,0.040630832,-0.00862664
0.40625727,0.539683,-0.040104333,0.0
-0.32815742,-0.043554,0.22376965,0.416183
-0.06906538,0.774293,0.26814848,0.111305
-0.35260642,-0.0503373,0.8489836,0.963959
0.25481656,0.515873,-0.24495415,0.0
-0.19035171,-0.0967867,0.33001545,0.271003
-0.38347602,-0.449678,0.28968447,0.465273
-0.5021608,-0.0532327,0.69582486,0.94851
0.13108408,0.0172533,0.065592736,0.00431332
-0.26623267,-0.833333,0.12700216,0.357143
-0.5580188,-0.36295,-0.112613,-0.208091
-0.6084629,-0.607121,0.4631451,0.650333
-0.43156537,-0.469415,0.41984138,0.672667
-0.13992064,-0.0396825,0.23798744,0.0396825
-0.4944475,0.00967867,-0.29564226,0.00967867
-0.045622796,-0.198843,0.3286952,0.562958
-0.58226615,-0.548942,0.5113245,0.542328
-0.74346423,-0.5,0.5053495,0.31746
-0.37394854,-0.138889,0.77074665,0.773809
-0.064020835,-0.324235,0.79228836,0.300039
-1.0079333,-0.891612,-0.5198854,-0.169356
0.41441,0.788811,0.16393484,0.0532327
-0.006422033,-0.0967867,0.7497993,0.900116
-0.054705665,0.849206,0.7791763,0.031746
-0.56647015,-0.873016,0.5590229,0.436508
-0.39125684,0.200169,0.0021487265,-0.200169
0.6011721,0.505689,0.07816534,0.0948167
-0.53519946,-0.221239,-0.2482737,-0.453013
-0.12855913,0.00431332,0.23792574,0.00431332
0.28939962,0.825531,0.094423175,-0.166113
0.03583868,-0.116144,0.6579626,0.793651
-0.65869474,-0.681391,-0.059627756,-0.180138
0.18672074,-0.058072,0.8357933,0.861401
-0.26154438,-0.0793651,0.72189355,0.793651
-0.1135346,-0.306232,0.113177106,0.367478
-0.5412449,-0.7259,-0.52758896,-0.343593
-0.5480616,-0.600077,0.44102177,0.658149
-0.07446327,-0.0338753,0.5272614,0.774293
-0.21077505,-0.0873016,0.8409499,0.809524
-0.22484927,-0.0626566,0.84621376,0.849105
-0.08481926,-0.159698,0.06211398,0.372629
-0.6169034,-0.168219,0.34585318,0.483092
-0.31372216,-0.904956,0.11743194,-0.00483933
-0.5773838,-0.450058,0.35892406,0.483933
-0.21645094,-0.101626,0.57005113,0.900116
-0.13448475,0.00793651,0.011280499,0.00793651
-0.081993856,-0.07259,0.7630798,0.619435
0.4799844,0.711989,0.115815036,0.1646
-0.501829,-0.649351,-0.33973905,-0.377529
-0.46753836,-0.796971,0.033860866,-0.254035
-0.0918807,0.221484,0.22237292,0.500856
-0.23087294,-0.0714286,-0.18616624,-0.642857
-0.27624714,-0.801587,0.705268,-0.460317
-0.6269702,0.0992063,0.26834476,0.405452
-0.048872616,-0.126984,0.84554654,0.849206
-0.46795446,-0.754936,-0.18555692,-0.338753
-0.6043312,-0.54783,0.51109606,0.742731
-0.5308917,-0.478183,0.5323768,0.811915
-0.79413664,-0.174603,-0.49920028,-0.34127
-0.13730334,-0.0677507,0.6110372,0.832365
-0.45178452,-0.674603,-0.3373733,-0.0238095
0.20886402,-0.614595,0.23922811,0.662989
-0.5697553,-0.716221,0.3638981,0.314557
-0.5717584,-0.150966,0.556071,0.439959
-0.44313395,-0.246032,0.21347132,0.428571
-0.83653086,-0.777189,-0.4246009,-0.244334
-0.107599735,-0.531746,-0.00181937,0.206349
-0.033564735,0.440379,0.40334046,-0.120983
0.6919129,0.849206,-0.044064745,0.0714286
-0.4588038,-0.425861,0.36312824,0.479094
-0.3269273,-0.643631,0.18530317,0.643631
0.70159435,0.895728,0.44423842,0.287092
-0.17393264,0.14546,0.24328165,0.811514
-0.22862206,0.0919473,-0.05815704,0.440379
-0.82117754,-0.626984,0.22343196,0.642857
-0.67267287,-0.603175,-0.18716632,-0.00793651
-0.24041373,-0.119048,0.8046255,0.793651
0.034656223,-0.00370865,0.57109874,0.415369
-0.44265783,-0.473202,0.06286313,0.806934
-0.10456853,0.015873,0.7175075,0.5
-0.3290308,-0.293852,0.21027516,-0.120555
-0.19287701,-0.00793651,0.027396716,0.015873
0.08465271,0.363618,0.72058874,0.577804
-0.44909438,-0.453278,0.17622551,0.816896
-0.030856248,-0.304878,0.04037331,-0.14518
-0.4192212,-0.119546,-0.021946311,0.762104
-0.50576013,-0.648471,0.543291,0.662989
-0.54135424,-0.865079,0.08171119,0.412698
-0.4358393,-0.232288,0.25322863,0.503291
-0.8464613,-0.714286,0.51636016,0.468254
-0.536709,0.119048,0.67048913,0.667989
-0.022636864,0.363618,0.50527984,0.547918
-0.51165587,-0.464576,0.12180018,0.517809
-0.47880778,-0.416183,-0.16065948,0.658149
-0.010180545,0.762104,0.07252457,0.338713
-0.4090187,0.329075,0.33312455,0.0338753
-0.7126615,-0.087108,0.28031212,0.880759
-0.55321753,-0.759775,0.5085373,0.454897
-0.32703122,-0.305154,0.14132664,0.501055
-0.44831553,-0.764615,0.16587093,0.474255
-0.51945686,-0.478183,0.26103297,0.811915
-0.5873189,-0.813008,0.37250474,0.479094
-0.43695605,-0.865079,0.08050333,0.373016
-0.77237695,-0.644841,0.250224,0.449972
-0.07019732,0.507936,0.12925062,0.0634921
0.07958867,0.450058,0.48793998,0.783972
0.24566852,-0.111305,0.30425763,0.754936
-0.72516036,-0.866706,0.057485387,-0.159394
-0.41652763,-0.764615,0.7351331,0.43554
-0.21768467,-0.0634921,0.047493562,0.619048
-0.55276316,-0.388889,0.6274824,0.769841
-0.19090614,-0.666667,0.82177764,0.698413
-0.94238824,-0.965608,-0.29897383,-0.152116
-0.118584916,0.00793651,0.031172222,0.0
-0.2595123,-0.382307,0.39674494,0.0967867
-0.4851769,-0.483092,0.020706637,-0.125086
-0.47162881,-0.796971,0.21711351,-0.229129
-0.21704005,-0.817847,0.52948266,0.367789
-0.033405513,0.269841,0.52294654,0.801587
-0.12624933,-0.633953,0.15547225,0.633953
-0.43234646,-0.300253,-0.03353499,0.105352
-0.47781563,-0.409585,0.6053152,0.463176
-0.20492008,-0.68254,-0.0387137,-0.293651
-0.10725079,-0.531058,0.43895298,0.568811
0.5551368,0.626984,0.17429417,0.198413
-0.4157477,-0.07259,0.39425483,0.827526
0.65073895,0.510957,0.10625163,0.100084
-0.2975925,-0.920635,0.6870653,0.365079
0.015299066,-0.658149,0.009807704,0.658149
-0.23549072,-0.0776398,0.54426306,0.491718
0.31554478,0.430701,0.21886629,0.0483933
0.8624522,0.416183,0.11155694,0.087108
-0.22056112,-0.690476,0.19771412,0.619048
-0.6693977,-0.130662,0.43093324,0.391986
-0.34646606,-0.338753,0.38468313,0.382307
-0.75170624,-0.661376,0.35627815,0.296296
-0.59479994,-0.587302,0.61769754,0.404762
0.76122636,0.539683,-0.0005361438,-0.00793651
-0.5946945,-0.543478,-0.49153206,-0.207039
-0.34594458,0.00661376,0.32563752,0.0
0.17821386,0.830654,-0.13271889,0.206706
0.6504446,0.505689,-0.028885247,0.0895491
-0.43684176,-0.609081,0.56961626,0.712272
0.025732066,-0.0560732,0.56953704,0.901484
-0.28209955,0.00793651,-0.21291597,0.015873
-0.7429484,-0.701703,0.40003797,0.421022
-0.7341086,-0.32377,0.5134659,0.478183
-0.6216166,-0.714286,0.33447328,0.412698
-0.3720986,-0.591463,0.5092615,0.619148
-0.5948972,-0.779133,0.61025566,0.421022
-0.8267088,-0.72166,0.48764855,0.505689
-0.4830214,-0.634921,0.42918313,0.626984
0.44046223,0.87108,0.07448976,-0.0193573
0.7380325,0.759144,0.056899726,0.297619
0.41511464,0.857143,0.77235866,0.206349
0.5928559,0.493612,0.4147567,0.837205
-0.25289312,-0.214286,0.38657442,-0.301587
-0.7648547,-0.373016,0.64824766,0.761905
-0.63526636,-0.584283,0.5384299,0.489337
-0.14509006,-0.633953,0.02101168,0.643631
-0.5438347,-0.406504,0.8170143,0.793651
0.5931151,0.532027,0.12714954,0.13169
-0.051373117,-0.119546,1.0013527,0.846782
-0.65290385,-0.11646,0.5136841,0.362319
0.75867486,0.787778,0.11809999,0.218967
-0.05232972,-0.667828,0.62229794,0.682346
-0.091117166,-0.754936,0.14258213,0.396825
-0.46554092,-0.278714,-0.1649819,-0.164204
-0.7665023,0.253968,-0.43216506,0.47619
-0.11906325,0.0677507,-0.0072110593,-0.00483933
-0.07529354,-0.07259,0.6659705,0.759775
-0.121174835,-0.047619,0.7173501,0.547619
-0.2878433,-0.534045,-0.0857909,0.593384
0.051156323,-0.0632111,0.7795233,0.879688
-0.085763134,-0.7259,0.25400898,0.382307
-0.3360715,-0.808169,0.4879634,0.440379
0.052713323,-0.18254,0.94637644,0.944444
0.11783032,0.0241967,0.46635175,0.875919
-0.38231954,-0.735579,-0.30282882,-0.329075
-0.4799886,-0.029036,0.7054827,0.730739
-0.7509071,-0.747998,0.41474536,0.484619
-0.5572826,-0.130662,0.38712135,0.353271
-0.35805476,-0.72166,0.28638563,0.421407
-0.20206371,-0.0714286,0.31295732,-0.34127
-0.45444223,-0.575881,0.64640355,0.783972
-0.30196714,-0.520594,-0.024239732,-0.36365
-0.24867639,-0.418174,-0.095479794,-0.421941
-0.376805,-0.31746,0.16088675,0.626984
-0.92731524,-0.621118,-0.43647608,-0.189786
-0.23172288,0.774336,0.33622977,-0.0948167
-0.24351074,0.14234,0.5709815,0.573671
-0.21204218,-0.0774293,0.7856142,0.759775
-0.74755263,-0.734956,0.40666744,0.474659
-0.29222217,-0.0677507,0.49835247,0.793651
-0.4100767,-0.960317,0.6301585,-0.18254
-0.22524355,-0.696864,0.7006921,0.430701
-0.69348866,-0.634921,0.2873949,0.746032
-0.86446,-0.769841,-0.25601998,-0.373016
-0.37933642,-0.0873016,0.30704606,-0.0793651
-0.7493949,-0.761905,0.39003456,0.634921
-0.47157115,-0.015873,0.2869295,0.0
-0.07197941,0.198413,0.48371843,0.81746
0.029115524,-0.0714286,0.7419536,-0.031746
-0.39975753,-0.648172,-0.2624737,-0.283035
0.18992294,-0.712736,-0.014207255,0.46741
-0.19436373,-0.134921,0.0124186175,-0.357143
-0.013396519,0.285521,0.30437788,0.662989
-0.08091108,0.779133,0.25516322,-0.154859
-0.4133182,-0.547619,0.5465575,0.68254
0.33007008,0.452381,0.2012048,0.0714286
-0.10607989,0.0,0.11484011,0.0
0.058032002,0.0431332,0.39179552,0.163906
-0.30389905,-0.0822687,0.13791375,0.590399
-0.76269746,-0.809524,-0.49924615,-0.373016
-0.015944455,-0.0952381,-0.025206216,-0.0873016
-0.008724519,-0.125313,0.8047241,0.853697
0.03155732,0.0238095,0.7579909,0.460317
-0.1383758,-0.12416,0.80715245,0.650015
0.48741537,0.537295,0.08320959,0.163295
-0.8666377,-0.880952,0.49045524,0.261905
-0.37399298,-0.126984,0.3985242,-0.603175
-0.70536816,-0.451692,0.631568,0.715817
-0.51381934,0.150794,-0.29322,0.611111
-0.85379505,-0.611111,0.36079454,0.753968
0.61456156,0.772066,0.08449953,0.368599
